t_target,k_target,n,iv_mae,iv_rmse,price_mae,price_rmse
0.02,-0.15,1,0.1192420800433979,0.1192420800433979,0.07486681789459908,0.07486681789459908
0.02,-0.08,1,0.0507350975041333,0.0507350975041333,0.2872280981252516,0.2872280981252516
0.02,-0.04,1,0.0013371882850227723,0.0013371882850227723,0.04037684552649812,0.04037684552649812
0.02,0.0,1,0.009636376084621798,0.009636376084621798,1.2799005791554006,1.2799005791554006
0.02,0.04,1,0.05167752050135266,0.05167752050135266,0.2490203450170566,0.2490203450170566
0.02,0.08,1,,,0.07500000840066968,0.07500000840066968
0.02,0.15,1,,,0.05000016094753081,0.05000016094753081
0.06,-0.15,1,0.03499670373679939,0.03499670373679939,0.3209003221417788,0.3209003221417788
0.06,-0.08,1,0.0005706255301077823,0.0005706255301077823,0.026174355232160496,0.026174355232160496
0.06,-0.04,1,0.009822748221958638,0.009822748221958638,1.1803119487170992,1.1803119487170992
0.06,0.0,1,0.005272965508359026,0.005272965508359026,1.1643412266267177,1.1643412266267177
0.06,0.04,1,0.01242525497777959,0.01242525497777959,0.40873446223732945,0.40873446223732945
0.06,0.08,1,0.04623875790987396,0.04623875790987396,0.1492937104485368,0.1492937104485368
0.06,0.15,1,0.06267314629773822,0.06267314629773822,0.09996500786549721,0.09996500786549721
0.1,-0.2,1,0.0197167370679035,0.0197167370679035,0.31098350674874387,0.31098350674874387
0.1,-0.12,1,0.0019050667403665844,0.0019050667403665844,0.10805654506602869,0.10805654506602869
0.1,-0.06,1,0.007577108563345314,0.007577108563345314,1.1308778699922186,1.1308778699922186
0.1,-0.03,1,0.006679667505360365,0.006679667505360365,1.5377681956578275,1.5377681956578275
0.1,0.0,1,0.001022192402133068,0.001022192402133068,0.2961151182145372,0.2961151182145372
0.1,0.03,1,0.007407988899634885,0.007407988899634885,1.2162335425604853,1.2162335425604853
0.1,0.06,1,0.014623986426523933,0.014623986426523933,0.5033562638636688,0.5033562638636688
0.1,0.12,1,0.04201574350910724,0.04201574350910724,0.09926745073124144,0.09926745073124144
0.1,0.2,1,0.0752058468998103,0.0752058468998103,0.12498038891105924,0.12498038891105924
0.2,-0.2,1,0.00107346636816813,0.00107346636816813,0.0739747192719733,0.0739747192719733
0.2,-0.12,1,0.002823910514458461,0.002823910514458461,0.4447775818509392,0.4447775818509392
0.2,-0.06,1,0.0025955718123913396,0.0025955718123913396,0.7383928807521443,0.7383928807521443
0.2,-0.03,1,0.0009412989058187049,0.0009412989058187049,0.3379283833679452,0.3379283833679452
0.2,0.0,1,0.0016730682686810078,0.0016730682686810078,0.670309433027434,0.670309433027434
0.2,0.03,1,0.005749114390758314,0.005749114390758314,1.8161209389237225,1.8161209389237225
0.2,0.06,1,0.009261974014375882,0.009261974014375882,1.1490751677400342,1.1490751677400342
0.2,0.12,1,0.020786666362539008,0.020786666362539008,0.29644680624383646,0.29644680624383646
0.2,0.2,1,0.04715248028356171,0.04715248028356171,0.22292116390329075,0.22292116390329075
0.3,-0.2,1,0.0004682173993408312,0.0004682173993408312,0.06387842821609446,0.06387842821609446
0.3,-0.12,1,0.0018482352568283678,0.0018482352568283678,0.4652490726872198,0.4652490726872198
0.3,-0.06,1,0.001746843900696543,0.001746843900696543,0.6723609458601452,0.6723609458601452
0.3,-0.03,1,0.0007627764499920087,0.0007627764499920087,0.3512454627114465,0.3512454627114465
0.3,0.0,1,0.0005064266741656998,0.0005064266741656998,0.24658519188805883,0.24658519188805883
0.3,0.03,1,0.0023718985779947466,0.0023718985779947466,1.0164932396412034,1.0164932396412034
0.3,0.06,1,0.0037216749016336786,0.0037216749016336786,0.890777339296676,0.890777339296676
0.3,0.12,1,0.012122454316953413,0.012122454316953413,0.49240007389046603,0.49240007389046603
0.3,0.2,1,0.01473544736139741,0.01473544736139741,0.33736472249221483,0.33736472249221483
0.5,-0.2,1,0.0001342405951014758,0.0001342405951014758,0.036091496888140284,0.036091496888140284
0.5,-0.12,1,0.000312852747369613,0.000312852747369613,0.12845153433058698,0.12845153433058698
0.5,-0.06,1,4.6057472479793526e-05,4.6057472479793526e-05,0.024928780051233446,0.024928780051233446
0.5,-0.03,1,0.00037744595671204695,0.00037744595671204695,0.22751679900429167,0.22751679900429167
0.5,0.0,1,0.0008506888696748205,0.0008506888696748205,0.5286729820949461,0.5286729820949461
0.5,0.03,1,0.0011863135875136155,0.0011863135875136155,0.6949518046808407,0.6949518046808407
0.5,0.06,1,0.0014385767145712186,0.0014385767145712186,0.6446989998457653,0.6446989998457653
0.5,0.12,1,0.005600562025587147,0.005600562025587147,0.7671604623595756,0.7671604623595756
0.5,0.2,1,0.011143313227990004,0.011143313227990004,0.3928650156462059,0.3928650156462059
1.0,-0.2,1,0.0007554922111319695,0.0007554922111319695,0.41006065812966597,0.41006065812966597
1.0,-0.12,1,0.0005561860182286549,0.0005561860182286549,0.38886049707753045,0.38886049707753045
1.0,-0.06,1,0.00028516732077854545,0.00028516732077854545,0.2320449710892234,0.2320449710892234
1.0,-0.03,1,6.463872755019251e-05,6.463872755019251e-05,0.05556475044181752,0.05556475044181752
1.0,0.0,1,0.0002095339933433915,0.0002095339933433915,0.18308056748008994,0.18308056748008994
1.0,0.03,1,0.0008280167750718825,0.0008280167750718825,0.7122912495952676,0.7122912495952676
1.0,0.06,1,0.0014196878354826303,0.0014196878354826303,1.1278896100566485,1.1278896100566485
1.0,0.12,1,0.0015949731159305286,0.0015949731159305286,0.8245194341378799,0.8245194341378799
1.0,0.2,1,0.004967404981076631,0.004967404981076631,0.6384821930007023,0.6384821930007023
